
000 | 0C001BA5;  Header 0 (Anzahl Kanäle, Kanalnummer 0, Blocknummer 0x1B, 0xA5)
171 | 7FF07FF0;  ch3, ch2
172 | 7FF07FF0;  ch5, ch4
173 | 7FF07FF0;  ch7, ch6
174 | 7FF07FF0;  ch9, ch8
175 | 7FF07FF0;  ch11, ch10
176 | 0000FFFA;  trigger, vibration
177 | 5B1031D0;  ch1, ch0
178 | 7FF07FF0;  ch3, ch2
179 | 7FF07FF0;  ch5, ch4
180 | 7FF07FF0;  ch7, ch6
181 | 7FF07FF0;  ch9, ch8
182 | 7FF07FF0;  ch11, ch10
183 | 00000223;  trigger, vibration
184 | 5B1031D0;  ch1, ch0
185 | 7FF07FF0;  ch3, ch2
186 | 7FF07FF0;  ch5, ch4
187 | 7FF07FF0;  ch7, ch6
188 | 7FF07FF0;  ch9, ch8
189 | 7FF07FF0;  ch11, ch10
190 | 00000814;  trigger, vibration
191 | 5B1031D0;  ch1, ch0
192 | 7FF07FF0;  ch3, ch2
193 | 7FF07FF0;  ch5, ch4
194 | 7FF07FF0;  ch7, ch6
195 | 7FF07FF0;  ch9, ch8
196 | 7FF07FF0;  ch11, ch10
197 | 0000FFF9;  trigger, vibration
198 | 5B1031D0;  ch1, ch0
199 | 7FF07FF0;  ch3, ch2
200 | 7FF07FF0;  ch5, ch4
201 | 7FF07FF0;  ch7, ch6
202 | 7FF07FF0;  ch9, ch8
203 | 7FF07FF0;  ch11, ch10
204 | 00000012;  trigger, vibration
205 | 5B1031D0;  ch1, ch0
206 | 7FF07FF0;  ch3, ch2
207 | 7FF07FF0;  ch5, ch4
208 | 7FF07FF0;  ch7, ch6
209 | 7FF07FF0;  ch9, ch8
210 | 7FF07FF0;  ch11, ch10
211 | 00000223;  trigger, vibration
212 | 5B1031D0;  ch1, ch0
213 | 7FF07FF0;  ch3, ch2
214 | 7FF07FF0;  ch5, ch4
215 | 7FF07FF0;  ch7, ch6
216 | 7FF07FF0;  ch9, ch8
217 | 7FF07FF0;  ch11, ch10
218 | 00000814;  trigger, vibration
219 | 5B1031D0;  ch1, ch0
220 | 7FF07FF0;  ch3, ch2
221 | 7FF07FF0;  ch5, ch4
222 | 7FF07FF0;  ch7, ch6
223 | 7FF07FF0;  ch9, ch8
224 | 7FF07FF0;  ch11, ch10
225 | 0000FFF9;  trigger, vibration
226 | 5B1031D0;  ch1, ch0
227 | 7FF07FF0;  ch3, ch2
228 | 7FF07FF0;  ch5, ch4
229 | 7FF07FF0;  ch7, ch6
230 | 7FF07FF0;  ch9, ch8
231 | 7FF07FF0;  ch11, ch10
232 | 00000012;  trigger, vibration
233 | 5B1031D0;  ch1, ch0
234 | 7FF07FF0;  ch3, ch2
235 | 7FF07FF0;  ch5, ch4
236 | 7FF07FF0;  ch7, ch6
237 | 7FF07FF0;  ch9, ch8
238 | 7FF07FF0;  ch11, ch10
239 | 00000223;  trigger, vibration
240 | 5B1031D0;  ch1, ch0
241 | 7FF07FF0;  ch3, ch2
242 | 7FF07FF0;  ch5, ch4
243 | 7FF07FF0;  ch7, ch6
244 | 7FF07FF0;  ch9, ch8
245 | 7FF07FF0;  ch11, ch10
246 | 00000824;  trigger, vibration
247 | 5B1031D0;  ch1, ch0
248 | 7FF07FF0;  ch3, ch2
249 | 7FF07FF0;  ch5, ch4
250 | 7FF07FF0;  ch7, ch6
251 | 7FF07FF0;  ch9, ch8
252 | 7FF07FF0;  ch11, ch10
253 | 0000FFE9;  trigger, vibration
254 | 5B1031D0;  ch1, ch0
255 | 7FF07FF0;  ch3, ch2

000 | 0C041CA5;  Header 0 (Anzahl Kanäle, Kanalnummer 4, Blocknummer 0x1C, 0xA5)
001 | 00000012;  Header 1 (Status, Nummer Messung)
002 | 7FF07FF0;  ch5, ch4
003 | 7FF07FF0;  ch7, ch6
004 | 7FF07FF0;  ch9, ch8
005 | 7FF07FF0;  ch11, ch10
006 | 0000FFE2;  trigger, vibration
007 | 5B1031D0;  ch1, ch0
008 | 7FF07FF0;  ch3, ch2
009 | 7FF07FF0;  ch5, ch4
010 | 7FF07FF0;  ch7, ch6
011 | 7FF07FF0;  ch9, ch8
012 | 7FF07FF0;  ch11, ch10
013 | 00000223;  trigger, vibration
014 | 5B1031D0;  ch1, ch0
015 | 7FF07FF0;  ch3, ch2
016 | 7FF07FF0;  ch5, ch4
017 | 7FF07FF0;  ch7, ch6
018 | 7FF07FF0;  ch9, ch8
019 | 7FF07FF0;  ch11, ch10
020 | 00000824;  trigger, vibration
021 | 5B1031D0;  ch1, ch0
022 | 7FF07FF0;  ch3, ch2
023 | 7FF07FF0;  ch5, ch4
024 | 7FF07FF0;  ch7, ch6
025 | 7FF07FF0;  ch9, ch8
026 | 7FF07FF0;  ch11, ch10
027 | 0000FFE9;  trigger, vibration
028 | 5B1031D0;  ch1, ch0
029 | 7FF07FF0;  ch3, ch2
030 | 7FF07FF0;  ch5, ch4
031 | 7FF07FF0;  ch7, ch6
032 | 7FF07FF0;  ch9, ch8
033 | 7FF07FF0;  ch11, ch10
034 | 0000FFE2;  trigger, vibration
035 | 5B1031D0;  ch1, ch0
036 | 7FF07FF0;  ch3, ch2
037 | 7FF07FF0;  ch5, ch4
038 | 7FF07FF0;  ch7, ch6
039 | 7FF07FF0;  ch9, ch8
040 | 7FF07FF0;  ch11, ch10
041 | 00000223;  trigger, vibration
042 | 5B1031D0;  ch1, ch0
043 | 7FF07FF0;  ch3, ch2
044 | 7FF07FF0;  ch5, ch4
045 | 7FF07FF0;  ch7, ch6
046 | 7FF07FF0;  ch9, ch8
047 | 7FF07FF0;  ch11, ch10
048 | 00000820;  trigger, vibration
049 | 5B1031D0;  ch1, ch0
050 | 7FF07FF0;  ch3, ch2
051 | 7FF07FF0;  ch5, ch4
052 | 7FF07FF0;  ch7, ch6
053 | 7FF07FF0;  ch9, ch8
054 | 7FF07FF0;  ch11, ch10
055 | 0000FFF5;  trigger, vibration
056 | 5B1031D0;  ch1, ch0
057 | 7FF07FF0;  ch3, ch2
058 | 7FF07FF0;  ch5, ch4
059 | 7FF07FF0;  ch7, ch6
060 | 7FF07FF0;  ch9, ch8
061 | 7FF07FF0;  ch11, ch10
062 | 00000002;  trigger, vibration
063 | 5B1031D0;  ch1, ch0
064 | 7FF07FF0;  ch3, ch2
065 | 7FF07FF0;  ch5, ch4
066 | 7FF07FF0;  ch7, ch6
067 | 7FF07FF0;  ch9, ch8
068 | 7FF07FF0;  ch11, ch10
069 | 00000223;  trigger, vibration
070 | 5B1031D0;  ch1, ch0
071 | 7FF07FF0;  ch3, ch2
072 | 7FF07FF0;  ch5, ch4
073 | 7FF07FF0;  ch7, ch6
074 | 7FF07FF0;  ch9, ch8
075 | 7FF07FF0;  ch11, ch10
076 | 00000820;  trigger, vibration
077 | 5B1031D0;  ch1, ch0
078 | 7FF07FF0;  ch3, ch2
079 | 7FF07FF0;  ch5, ch4
080 | 7FF07FF0;  ch7, ch6
081 | 7FF07FF0;  ch9, ch8
082 | 7FF07FF0;  ch11, ch10
083 | 0000FFF5;  trigger, vibration
084 | 5B1031D0;  ch1, ch0
085 | 7FF07FF0;  ch3, ch2
086 | 7FF07FF0;  ch5, ch4
087 | 7FF07FF0;  ch7, ch6
088 | 7FF07FF0;  ch9, ch8
089 | 7FF07FF0;  ch11, ch10
090 | 00000002;  trigger, vibration
091 | 5B1031D0;  ch1, ch0
092 | 7FF07FF0;  ch3, ch2
093 | 7FF07FF0;  ch5, ch4
094 | 7FF07FF0;  ch7, ch6
095 | 7FF07FF0;  ch9, ch8
096 | 7FF07FF0;  ch11, ch10
097 | 00000223;  trigger, vibration
098 | 5B1031D0;  ch1, ch0
099 | 7FF07FF0;  ch3, ch2
100 | 7FF07FF0;  ch5, ch4
101 | 7FF07FF0;  ch7, ch6
102 | 7FF07FF0;  ch9, ch8
103 | 7FF07FF0;  ch11, ch10
104 | 00000814;  trigger, vibration
105 | 5B1031D0;  ch1, ch0
106 | 7FF07FF0;  ch3, ch2
107 | 7FF07FF0;  ch5, ch4
108 | 7FF07FF0;  ch7, ch6
109 | 7FF07FF0;  ch9, ch8
110 | 7FF07FF0;  ch11, ch10
111 | 00000001;  trigger, vibration
112 | 5B1031D0;  ch1, ch0
113 | 7FF07FF0;  ch3, ch2
114 | 7FF07FF0;  ch5, ch4
115 | 7FF07FF0;  ch7, ch6
116 | 7FF07FF0;  ch9, ch8
117 | 7FF07FF0;  ch11, ch10
118 | 0000FFF2;  trigger, vibration
119 | 5B1031D0;  ch1, ch0
120 | 7FF07FF0;  ch3, ch2
121 | 7FF07FF0;  ch5, ch4
122 | 7FF07FF0;  ch7, ch6
123 | 7FF07FF0;  ch9, ch8
124 | 7FF07FF0;  ch11, ch10
125 | 00000223;  trigger, vibration
126 | 5B1031D0;  ch1, ch0
127 | 7FF07FF0;  ch3, ch2
128 | 7FF07FF0;  ch5, ch4
129 | 7FF07FF0;  ch7, ch6
130 | 7FF07FF0;  ch9, ch8
131 | 7FF07FF0;  ch11, ch10
132 | 00000814;  trigger, vibration
133 | 5B1031D0;  ch1, ch0
134 | 7FF07FF0;  ch3, ch2
135 | 7FF07FF0;  ch5, ch4
136 | 7FF07FF0;  ch7, ch6
137 | 7FF07FF0;  ch9, ch8
138 | 7FF07FF0;  ch11, ch10
139 | 00000001;  trigger, vibration
140 | 5B1031D0;  ch1, ch0
141 | 7FF07FF0;  ch3, ch2
142 | 7FF07FF0;  ch5, ch4
143 | 7FF07FF0;  ch7, ch6
144 | 7FF07FF0;  ch9, ch8
145 | 7FF07FF0;  ch11, ch10
146 | 0000FFF2;  trigger, vibration
147 | 5B1031D0;  ch1, ch0
148 | 7FF07FF0;  ch3, ch2
149 | 7FF07FF0;  ch5, ch4
150 | 7FF07FF0;  ch7, ch6
151 | 7FF07FF0;  ch9, ch8
152 | 7FF07FF0;  ch11, ch10
153 | 00000223;  trigger, vibration
154 | 5B1031D0;  ch1, ch0
155 | 7FF07FF0;  ch3, ch2
156 | 7FF07FF0;  ch5, ch4
157 | 7FF07FF0;  ch7, ch6
158 | 7FF07FF0;  ch9, ch8
159 | 7FF07FF0;  ch11, ch10
160 | 00000800;  trigger, vibration
161 | 5B1031D0;  ch1, ch0
162 | 7FF07FF0;  ch3, ch2
163 | 7FF07FF0;  ch5, ch4
164 | 7FF07FF0;  ch7, ch6
165 | 7FF07FF0;  ch9, ch8
166 | 7FF07FF0;  ch11, ch10
167 | 0000FFF5;  trigger, vibration
168 | 5B1031D0;  ch1, ch0
169 | 7FF07FF0;  ch3, ch2
170 | 7FF07FF0;  ch5, ch4
171 | 7FF07FF0;  ch7, ch6
172 | 7FF07FF0;  ch9, ch8
173 | 7FF07FF0;  ch11, ch10
174 | 0000FFDE;  trigger, vibration
175 | 5B1031D0;  ch1, ch0
176 | 7FF07FF0;  ch3, ch2
177 | 7FF07FF0;  ch5, ch4
178 | 7FF07FF0;  ch7, ch6
179 | 7FF07FF0;  ch9, ch8
180 | 7FF07FF0;  ch11, ch10
181 | 00000223;  trigger, vibration
182 | 5B1031D0;  ch1, ch0
183 | 7FF07FF0;  ch3, ch2
184 | 7FF07FF0;  ch5, ch4
185 | 7FF07FF0;  ch7, ch6
186 | 7FF07FF0;  ch9, ch8
187 | 7FF07FF0;  ch11, ch10
188 | 00000800;  trigger, vibration
189 | 5B1031D0;  ch1, ch0
190 | 7FF07FF0;  ch3, ch2
191 | 7FF07FF0;  ch5, ch4
192 | 7FF07FF0;  ch7, ch6
193 | 7FF07FF0;  ch9, ch8
194 | 7FF07FF0;  ch11, ch10
195 | 0000FFF5;  trigger, vibration
196 | 5B1031D0;  ch1, ch0
197 | 7FF07FF0;  ch3, ch2
198 | 7FF07FF0;  ch5, ch4
199 | 7FF07FF0;  ch7, ch6
200 | 7FF07FF0;  ch9, ch8
201 | 7FF07FF0;  ch11, ch10
202 | 0000FFDE;  trigger, vibration
203 | 5B1031D0;  ch1, ch0
204 | 7FF07FF0;  ch3, ch2
205 | 7FF07FF0;  ch5, ch4
206 | 7FF07FF0;  ch7, ch6
207 | 7FF07FF0;  ch9, ch8
208 | 7FF07FF0;  ch11, ch10
209 | 00000223;  trigger, vibration
210 | 5B1031D0;  ch1, ch0
211 | 7FF07FF0;  ch3, ch2
212 | 7FF07FF0;  ch5, ch4
213 | 7FF07FF0;  ch7, ch6
214 | 7FF07FF0;  ch9, ch8
215 | 7FF07FF0;  ch11, ch10
216 | 00000818;  trigger, vibration
217 | 5B1031D0;  ch1, ch0
218 | 7FF07FF0;  ch3, ch2
219 | 7FF07FF0;  ch5, ch4
220 | 7FF07FF0;  ch7, ch6
221 | 7FF07FF0;  ch9, ch8
222 | 7FF07FF0;  ch11, ch10
223 | 0000000D;  trigger, vibration
224 | 5B1031D0;  ch1, ch0
225 | 7FF07FF0;  ch3, ch2
226 | 7FF07FF0;  ch5, ch4
227 | 7FF07FF0;  ch7, ch6
228 | 7FF07FF0;  ch9, ch8
229 | 7FF07FF0;  ch11, ch10
230 | 0000FF02;  trigger, vibration
231 | 5B1031D0;  ch1, ch0
232 | 7FF07FF0;  ch3, ch2
233 | 7FF07FF0;  ch5, ch4
234 | 7FF07FF0;  ch7, ch6
235 | 7FF07FF0;  ch9, ch8
236 | 7FF07FF0;  ch11, ch10
237 | 00000223;  trigger, vibration
238 | 5B1031D0;  ch1, ch0
239 | 7FF07FF0;  ch3, ch2
240 | 7FF07FF0;  ch5, ch4
241 | 7FF07FF0;  ch7, ch6
242 | 7FF07FF0;  ch9, ch8
243 | 7FF07FF0;  ch11, ch10
244 | 00000818;  trigger, vibration
245 | 5B1031D0;  ch1, ch0
246 | 7FF07FF0;  ch3, ch2
247 | 7FF07FF0;  ch5, ch4
248 | 7FF07FF0;  ch7, ch6
249 | 7FF07FF0;  ch9, ch8
250 | 7FF07FF0;  ch11, ch10
251 | 0000000D;  trigger, vibration
252 | 5B1031D0;  ch1, ch0
253 | 7FF07FF0;  ch3, ch2
254 | 7FF07FF0;  ch5, ch4
255 | 7FF07FF0;  ch7, ch6

000 | 0C081DA5;  Header 0 (Anzahl Kanäle, Kanalnummer 8, Blocknummer 0x1D, xA5)
001 | 00000012;  Header 1 (Status, Nummer Messung)
002 | 7FF07FF0;  ch9, ch8
003 | 7FF07FF0;  ch11, ch10
004 | 00000002;  trigger, vibration
005 | 5B1031D0;  ch1, ch0
006 | 7FF07FF0;  ch3, ch2
007 | 7FF07FF0;  ch5, ch4
008 | 7FF07FF0;  ch7, ch6
009 | 7FF07FF0;  ch9, ch8
010 | 7FF07FF0;  ch11, ch10
011 | 00000223;  trigger, vibration
012 | 5B1031D0;  ch1, ch0
013 | 7FF07FF0;  ch3, ch2
014 | 7FF07FF0;  ch5, ch4
015 | 7FF07FF0;  ch7, ch6
016 | 7FF07FF0;  ch9, ch8
017 | 7FF07FF0;  ch11, ch10
018 | 00000818;  trigger, vibration
.....
